organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus,sem_score,lex_rank
bone,10.7150/thno.105840,PMC11671374,Wang,2025,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,39744680,Standardization and consensus in the development and application of bone organoids,36,no,0.8288,3
cardiac,10.1042/bst20230444,PMC11346450,Groen,2024,Biochemical Society transactions,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,38778769,Three-dimensional cardiac models: a pre-clinical testing platform,6,no,0.7795,7
bone,10.1016/j.bioactmat.2026.04.008,PMC13099488,Han,2026,Bioactive materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,42027811,Emerging engineering strategies in bone organoids: From biomimetic scaffolds to dynamic microenvironmental stimulation,0,no,0.7721,1
blood-brain-barrier,10.34172/bi.33140,PMC12913201,Nakhlband,2025,BioImpacts : BI,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,41716517,Organoid-engineered neurovascular units for drug discovery and neurodegeneration research,0,no,0.7717,1
bone,10.1002/advs.202501437,PMC12407368,Deng,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,40538275,Microsphere Strategy to Generate Conformal Bone Organoid Units with Osteoimmunomodulation and Sustainable Oxygen Supply for Bone Regeneration,8,no,0.77,8
cerebral,10.4014/jmb.2411.11040,PMC12149405,Hongxi,2025,Journal of microbiology and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,40443221,Human Brain Organoids: Development and Applications,3,no,0.7633,4
pancreatic,10.3390/medicina61040623,PMC12028617,Petrauskas,2025,"Medicina (Kaunas, Lithuania)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover pancreatic,40282914,Pancreatic 3D Organoids and Microfluidic Systems-Applicability and Utilization in Surgery: A Literature Review,1,no,0.7563,1
tumor,10.1002/mco2.70575,PMC12771672,Li,2026,MedComm,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,41503026,"Organoids in Cancer Research and Regenerative Medicine: Current Status, Challenges, and Future Prospects",1,no,0.7525,14
vascular,10.1038/s41598-026-42977-z,PMC13076926,Hoffmann,2026,Scientific reports,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover vascular,41787093,Animal-origin-free method for generating blood vessel organoids,0,no,0.7414,1
cardiac,10.1002/adhm.202504004,PMC13107919,Marini,2026,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41677066,Patient-Derived 3D Bioprinted Cardiac Organoid Constructs Reveal Key Pathological Features of Duchenne Muscular Dystrophy,0,no,0.7348,4
kidney,10.1007/s12015-025-10971-z,PMC12504399,Kearney,2025,Stem cell reviews and reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover kidney,40965814,Dimethyl Sulfoxide Conditions Induced Pluripotent Stem Cells for more Efficient Nephron Progenitor and Kidney Organoid Differentiation,2,no,0.7347,3
thyroid,10.1016/j.stemcr.2021.02.011,PMC8072035,Ogundipe,2021,Stem cell reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,33711265,Generation and Differentiation of Adult Tissue-Derived Human Thyroid Organoids,50,no,0.7343,6
cardiac,10.3390/biomedicines12122714,PMC11726960,Stougiannou,2024,Biomedicines,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39767621,"In Vitro Models of Cardiovascular Disease: Embryoid Bodies, Organoids and Everything in Between",1,no,0.7321,6
kidney,10.1038/s42003-024-06986-w,PMC11458617,Fujimori,2024,Communications biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover kidney,39375428,Generation of human-pig chimeric renal organoids using iPSC technology,4,no,0.722,6
endometrial,10.1093/humrep/deaf223,PMC12864150,Rawlings,2026,"Human reproduction (Oxford, England)",tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,41247772,New models of implantation: towards a whole better than the sum of parts,1,no,0.7198,1
pancreatic,10.1038/s12276-024-01378-w,PMC11799150,Xu,2025,Experimental & molecular medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover pancreatic,39814914,Advancing pancreatic cancer research and therapeutics: the transformative role of organoid technology,11,no,0.7173,2
bone,10.1016/j.mtbio.2025.102533,PMC12639860,Chen,2025,Materials today. Bio,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bone,41281636,Urine-derived stem cells efficiently assemble into micro-bone organoids supported by decellularized bone matrix microparticles for rapidly repairing bone defects through direct filling and paracrine functions,0,no,0.7171,7
inner-ear,10.1242/dev.201871,PMC10698753,Steinhart,2023,"Development (Cambridge, England)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover inner-ear,37796037,Mapping oto-pharyngeal development in a human inner ear organoid model,11,no,0.7122,2
mammary,10.3389/fbioe.2021.745943,PMC8602090,Mohan,2021,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover mammary,34805107,Current Status of Breast Organoid Models,21,no,0.7082,4
inner-ear,10.1016/j.isci.2025.111817,PMC11834118,Matern,2025,iScience,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,39967872,A developmental atlas of mouse vestibular-like inner ear organoids,2,no,0.7035,1
neuromuscular,10.3389/fcell.2024.1429759,PMC11222430,Couturier,2024,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,38966427,Aberrant evoked calcium signaling and nAChR cluster morphology in a <i>SOD1</i> D90A hiPSC-derived neuromuscular model,4,no,0.6981,7
tumor,10.32604/or.2025.071296,PMC12712689,Han,2025,Oncology research,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,41425705,Organoid Technology in Precision Medicine for Head and Neck Cancer,0,no,0.697,12
intestinal,10.1016/j.xpro.2026.104524,PMC13138044,Stuffer,2026,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,42048187,Protocol for generating iPSC-derived intestinal organoids through dissection to model cystic fibrosis therapies,0,no,0.6959,1
hepatic,10.1038/s41598-025-32539-0,PMC12824400,Yang,2026,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover hepatic,41535358,​Temporal proteomic profiling of iPSC-derived human liver organoids reveals optimal maturation for drug metabolism and toxicology,0,no,0.6938,3
blood-brain-barrier,10.3390/ijms26199478,PMC12524615,Ferrari,2025,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,41096746,Microfluidic-Based Technologies for Crossing the Blood-Brain Barrier Against Alzheimer's Disease: Novel Strategies and Challenges,3,no,0.6879,7
cholangiocyte,10.4254/wjh.v17.i2.95624,PMC11866153,Li,2025,World journal of hepatology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cholangiocyte,40027550,Global landscape of hepatic organoid research: A bibliometric and visual study,1,no,0.6875,3
endometrial,10.21769/bioprotoc.5584,PMC12887873,Bajetto,2026,Bio-protocol,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,41676000,Simple and Rapid Model to Generate Differentiated Endometrial Floating Organoids,0,no,0.6863,4
endometrial,10.1093/hropen/hoag028,PMC13117623,Hernández-Díaz,2026,Human reproduction open,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,42052577,"Reproductive fluids, commercial media, and organoids: bridging the gap in IVF culture systems",0,no,0.6844,3
tumor,10.3390/cancers18091465,PMC13162899,Younis,2026,Cancers,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,42122261,Establishment of Patient-Derived Organoids for Pediatric Cancer Research,0,no,0.6825,4
endometrial,10.1002/advs.202509664,PMC12955949,Li,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,41431163,Endometrial Assembloid Model Reveals Endometrial Gland Development Regulation by Estradiol-Driven WNT7B Suppression,0,no,0.6823,8
endometrial,10.7554/elife.90729,PMC13043174,Zhang,2026,eLife,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover endometrial,41920166,Human receptive endometrial assembloid for deciphering the implantation window,0,no,0.6814,5
esophageal,10.1016/j.bioactmat.2025.12.046,PMC12809746,Park,2026,Bioactive materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover esophageal,41551765,Esophagus extracellular matrix with microenvironmental complexity for esophageal organoids,0,no,0.681,1
gastric,10.1186/s13619-024-00218-6,PMC11732820,Hong,2025,"Cell regeneration (London, England)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover gastric,39808364,Standard: Human gastric organoids,7,no,0.6803,9
tumor,10.21037/jtd-2026-0547,PMC13190222,Wu,2026,Journal of thoracic disease,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover tumor,42182656,Bibliometric analysis of lung cancer organoid research: trends and emerging areas of study,0,no,0.677,2
salivary-gland,10.1186/s13287-023-03445-x,PMC10464143,Kang,2023,Stem cell research & therapy,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,37620905,Maintenance of adult stem cells from human minor salivary glands via the Wnt signaling pathway,5,no,0.6729,7
pancreatic,10.3390/cells15040317,PMC12939310,Mantovani,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover pancreatic,41744760,Magnetic Bead-Guided Assembly of 3D Primary Human Islet Cells in Decellularized Pancreatic Scaffolds,0,no,0.6721,3
intestinal,10.1016/j.isci.2026.114844,PMC12992530,Guo,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,41852748,Red panda intestinal organoids for the functional analysis of &lt;i&gt;Lactobacillus salivarius&lt;/i&gt;,0,no,0.6673,6
retinal,10.1167/iovs.66.14.2,PMC12594264,Ashworth,2025,Investigative ophthalmology & visual science,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41182029,USH2A-Mutated Human Retinal Organoids Model Rod-Cone Dystrophy,0,no,0.6669,6
fallopian-tube,10.3389/fcell.2021.661472,PMC8093793,Heremans,2021,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover fallopian-tube,33959613,Organoids of the Female Reproductive Tract: Innovative Tools to Study Desired to Unwelcome Processes,23,no,0.6654,3
bladder,10.1038/s41416-023-02494-6,PMC10844626,Viergever,2024,British journal of cancer,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,38102228,Urine-derived bladder cancer organoids (urinoids) as a tool for cancer longitudinal response monitoring and therapy adaptation,17,no,0.6644,4
salivary-gland,10.1186/s13287-021-02133-y,PMC8059179,Jeong,2021,Stem cell research & therapy,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,33883032,Establishment of functional epithelial organoids from human lacrimal glands,30,no,0.6629,6
esophageal,,PMC8859204,Rolland,2022,Journal of the Canadian Association of Gastroenterology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover esophageal,,A16 ESOPHAGEAL ORGANOID PROLIFERATION AND DIFFERENTIATION ARE ALTERED BY LOSS OF MSH2,0,no,0.6627,6
retinal,10.1016/j.xpro.2025.104232,PMC12702322,Chen,2025,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41317324,Protocol for modeling injury-induced regeneration in retinal organoids and isolating hNRSCs for subretinal transplantation in rd10 mice,0,no,0.6622,4
tumor,10.3390/cancers17243973,PMC12730618,Ali,2025,Cancers,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,41463218,A Patient-Derived Organoid Platform from TUR-P Samples Enables Precision Drug Screening in Advanced Prostate Cancer,0,no,0.6601,6
bladder,10.1038/s41598-018-19690-7,PMC5775255,Horsley,2018,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,29352171,A urine-dependent human urothelial organoid offers a potential alternative to rodent models of infection,72,no,0.66,13
salivary-gland,10.4196/kjpp.25.149,PMC12576417,Park,2025,The Korean journal of physiology & pharmacology : official journal of the Korean Physiological Society and the Korean Society of Pharmacology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover salivary-gland,40776800,Organoid-based modeling and regenerative strategies for salivary gland dysfunction,1,no,0.6583,5
bone,10.1016/j.bioactmat.2025.08.039,PMC12444486,Zhang,2025,Bioactive materials,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bone,40980505,Liver-bone organoids reveal senescence-driven interorgan crosstalk,1,no,0.6561,4
tumor,10.3390/cells15030259,PMC12897217,Kjølle,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,41677622,Immune Cell Modulation of Patient-Matched Organoid Drug Response in Precision Cancer Medicine Platform,0,no,0.6553,13
cholangiocyte,10.1097/hc9.0000000000000804,PMC12520223,Calder,2025,Hepatology communications,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cholangiocyte,41085543,EGFR activation in cholangiocytes promotes extrahepatic bile duct regeneration after injury,0,no,0.6532,4
kidney,10.3389/fruro.2024.1355042,PMC12327341,Raykhel,2024,Frontiers in urology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover kidney,40777107,Vascularization of kidney organoids: different strategies and perspectives,6,no,0.6532,2
thyroid,10.3390/medicina60040520,PMC11051914,Prete,2024,"Medicina (Kaunas, Lithuania)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,38674166,State of the Art in 3D Culture Models Applied to Thyroid Cancer,4,no,0.6511,3
thyroid,10.3389/fendo.2022.1065410,PMC9755335,Li,2022,Frontiers in endocrinology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover thyroid,36531472,Engineering a functional thyroid as a potential therapeutic substitute for hypothyroidism treatment: A systematic review,4,no,0.6478,4
bladder,10.3390/ijms24076232,PMC10094462,Neuhaus,2023,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover bladder,37047203,3D Tumor Models in Urology,6,no,0.646,2
blood-brain-barrier,10.1016/j.stemcr.2025.102607,PMC12447338,Bell,2025,Stem cell reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,40845853,ApoE4 disrupts intracellular trafficking and iron homeostasis in a reproducible iPSC-based model of human brain endothelial cells,1,no,0.6439,9
bone,10.1182/bloodadvances.2024013361,PMC11732577,Ren,2025,Blood advances,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover bone,39471483,Development of iPSC-derived human bone marrow organoid for autonomous hematopoiesis and patient-derived HSPC engraftment,16,no,0.6422,5
blood-brain-barrier,10.3390/jfb17020106,PMC12941411,Sun,2026,Journal of functional biomaterials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover blood-brain-barrier,41745568,Construction of an In Vitro Blood-Brain Barrier Micro-Organoid Model Using Decellularized Squid Mantle Scaffold Film,0,no,0.6358,2
neuromuscular,10.1002/adhm.202404111,PMC12232128,Rossi,2025,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,40320876,Engineering Assembloids to Mimic Graft-Host Skeletal Muscle Interaction,5,no,0.6356,5
skin,10.3390/life16050784,PMC13209094,Ianoși,2026,"Life (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover skin,42195340,RNA Coding and Transcriptional Regulation in Skin Repair: Insights from Single-Cell Profiling and Implications for Organoid-Based Regenerative Strategies,0,no,0.632,4
tumor,10.3390/cells15100922,PMC13204940,Sani,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover tumor,42193932,The Organoid Decade: Leveraging 3D Patient-Derived Organoids to Bridge the Translational Gap in Triple-Negative Breast Cancer: A Systematic Review,0,no,0.6317,1
inner-ear,10.1073/pnas.2410829122,PMC11745320,Wu,2025,Proceedings of the National Academy of Sciences of the United States of America,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover inner-ear,39773029,PKM2 controls cochlear development through lactate-dependent transcriptional regulation,10,no,0.6291,5
hepatic,10.1016/j.isci.2026.114955,PMC12927097,Ma,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover hepatic,41736863,A cell atlas of multiple liver organoids and the fetal liver based on scRNA-seq,0,no,0.628,2
lung,10.3390/jcm15114016,PMC13257478,Scocca,2026,Journal of clinical medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover lung,42278883,"Nasal Epithelial Organoids as Translational Platforms in Inflammatory, Infectious, and Precision Medicine Applications: A Systematic Review",0,no,0.6279,3
neuromuscular,10.3390/biomedicines13051109,PMC12109395,Quarta,2025,Biomedicines,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover neuromuscular,40426938,Patient-Oriented In Vitro Studies in Duchenne Muscular Dystrophy: Validation of a 3D Skeletal Muscle Organoid Platform,0,no,0.6277,1
cardiac,10.1002/advs.202515661,PMC13248853,Hoang,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41837870,Size-Modulated Mesoderm-Endoderm Divergence and Myocardial Cavitation in Micropatterned Cardioids,0,no,0.6269,3
prostate,10.7150/thno.134940,PMC13232435,He,2026,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover prostate,42244988,Therapeutic pressure drives the evolution of a protective ecotype characterized by AR-loss-induced senescence in prostate cancer,0,no,0.6263,2
vascular,10.3390/cells13231955,PMC11640006,Oh,2024,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover vascular,39682704,The Formation of Human Arteriovenous Malformation Organoids and Their Characteristics,4,no,0.6255,4
endometrial,10.21769/bioprotoc.5349,PMC12222628,Zhang,2025,Bio-protocol,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover endometrial,40620810,The Establishment of 3D Polarity-Reversed Organoids From Human Endometrial Tissue as a Model for Infection-Induced Endometritis,0,no,0.6255,2
mammary,10.1007/s10911-025-09587-3,PMC12401754,Brezak,2025,Journal of mammary gland biology and neoplasia,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover mammary,40888933,Live-cell imaging of mammary organoids using light sheet microscopy,0,no,0.6239,3
