organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
cardiac,10.1038/s41598-022-22225-w,PMC9579206,Ergir,2022,Scientific reports,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cardiac,10.1038/s41598-020-76062-w,PMC7645446,Abulaiti,2020,Scientific reports,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cardiac,10.3389/fpubh.2018.00103,PMC5932352,Forsythe,2018,Frontiers in public health,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cardiac,10.3389/fgene.2021.767621,PMC8591288,Matsui,2021,Frontiers in genetics,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cardiac,10.1002/smll.202504493,PMC12895230,Mousavi,2026,Small,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cardiac,10.3390/cells15111019,PMC13256626,Hosny,2026,Cells,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
cerebral,10.1038/s41467-021-24775-5,PMC8342542,Cho,2021,Nature communications,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,,,,no
cerebral,10.1038/s41467-020-19264-0,PMC7608683,Zhao,2020,Nature communications,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,,,,no
cerebral,10.1038/s41586-021-03209-8,PMC8494642,Ziffra,2021,Nature,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1038/s41467-019-13605-4,PMC6906306,Giobbe,2019,Nature communications,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1038/s41467-022-29279-4,PMC8967832,Kim,2022,Nature communications,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1038/s41423-019-0339-5,PMC6952403,Takahashi-Kanemitsu,2020,Cellular & molecular immunology,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1186/s13059-014-0428-9,PMC4145231,Nadauld,2014,Genome biology,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1186/s13046-018-0993-y,PMC6302516,Zhang,2018,Journal of experimental & clinical cancer research,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
gastric,10.1242/dmm.027649,PMC5312008,Burkitt,2017,Disease models & mechanisms,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,,,,no
intestinal,10.3390/ijms23031105,PMC8835596,Portincasa,2022,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,yes,high-cited,auto: europepmc CITED/recency pull,,,,no
