topic,doi,pmcid,title,year,oa_status,license,oa_url,route,in_current_corpus
organ-on-a-chip,10.1038/s43586-022-00118-6,,A guide to the organ-on-a-chip,2022,hybrid,cc-by,https://www.nature.com/articles/s43586-022-00118-6.pdf,pdf,0
organ-on-a-chip,10.1126/science.1188302,PMC8335790,Reconstituting Organ-Level Lung Functions on a Chip,2010,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/8335790,epmc_jats,0
organ-on-a-chip,10.1186/s12938-020-0752-0,PMC7017614,Organ-on-a-chip: recent breakthroughs and future prospects,2020,gold,cc-by,https://biomedical-engineering-online.biomedcentral.com/track/pdf/10.1186/s12938-020-0752-0,epmc_jats,0
organ-on-a-chip,10.1016/j.tips.2020.11.009,PMC7990030,Organ-on-a-Chip: A New Paradigm for Drug Development,2020,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/7990030,epmc_jats,0
organ-on-a-chip,10.1016/j.jcmgh.2017.12.010,PMC5924739,Microfluidic Organ-on-a-Chip Models of Human Intestine,2018,gold,,http://www.cmghjournal.org/article/S2352345X17301893/pdf,epmc_jats,0
organ-on-a-chip,10.1016/j.stem.2018.02.011,PMC5837068,Organs-on-a-Chip: A Fast Track for Engineered Human Tissues in Drug Development,2018,bronze,,http://www.cell.com/article/S1934590918300730/pdf,epmc_jats,0
organ-on-a-chip,10.1038/s41598-017-08879-x,PMC5562747,Multi-tissue interactions in an integrated three-tissue organ-on-a-chip platform,2017,gold,cc-by,https://www.nature.com/articles/s41598-017-08879-x.pdf,epmc_jats,0
organ-on-a-chip,10.1038/nmat4570,PMC4879054,Biodegradable scaffold with built-in vasculature for organ-on-a-chip engineering and direct surgical anastomosis,2016,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/4879054,epmc_jats,0
organ-on-a-chip,10.1039/c3lc50243k,PMC3818688,Scaling and systems biology for integrating multiple organs-on-a-chip,2013,hybrid,cc-by-nc,https://pubs.rsc.org/en/content/articlepdf/2013/lc/c3lc50243k,epmc_jats,0
organ-on-a-chip,10.1016/j.yexcr.2017.12.023,PMC5944300,Liver ‘organ on a chip’,2017,bronze,,https://www.sciencedirect.com/science/article/am/pii/S001448271730678X,epmc_jats,0
organ-on-a-chip,10.1016/j.stem.2017.08.016,,Synergistic Engineering: Organoids Meet Organs-on-a-Chip,2017,bronze,,http://www.cell.com/article/S193459091730334X/pdf,pdf,0
organ-on-a-chip,10.1038/s41576-022-00466-9,PMC8951665,"Human organs-on-chips for disease modelling, drug development and personalized medicine",2022,hybrid,cc-by,https://www.nature.com/articles/s41576-022-00466-9.pdf,epmc_jats,0
organ-on-a-chip,10.1016/j.cell.2021.08.005,PMC8417425,Organs-on-a-chip models for biological research,2021,bronze,,http://www.cell.com/article/S0092867421009478/pdf,epmc_jats,0
organ-on-a-chip,10.1038/s41573-020-0079-3,,Organs-on-chips: into the next decade,2020,green,,https://research.utwente.nl/files/264108507/Low_2021_Organs_on_chips_into_the_next_decad.pdf,pdf,0
organ-on-a-chip,10.3390/mi11060599,PMC7345732,Evolution of Biochip Technology: A Review from Lab-on-a-Chip to Organ-on-a-Chip,2020,gold,cc-by,https://www.mdpi.com/2072-666X/11/6/599/pdf?version=1592627244,epmc_jats,0
organ-on-a-chip,10.1002/adhm.201801363,PMC6424124,Organ‐on‐a‐Chip for Cancer and Immune Organs Modeling,2019,green,,https://www.ncbi.nlm.nih.gov/pmc/articles/6424124,epmc_jats,0
organ-on-a-chip,10.1039/c6lc00450d,,One-step fabrication of an organ-on-a-chip with spatial heterogeneity using a 3D bioprinting technology,2016,hybrid,cc-by,https://pubs.rsc.org/en/content/articlepdf/2016/lc/c6lc00450d,pdf,0
organ-on-a-chip,10.3390/mi9100536,PMC6215144,Organs-on-a-Chip Module: A Review from the Development and Applications Perspective,2018,gold,cc-by,https://www.mdpi.com/2072-666X/9/10/536/pdf,epmc_jats,0
