organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
cardiac,10.1186/s12933-026-03086-3,PMC13003744,Zhao,2026,Cardiovascular diabetology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41618376,Advanced imaging strategies in cardiac organoids: bridging the gap between structural complexity and functional analysis,0,no
cardiac,10.3390/cells15100900,PMC13204734,Di Stefani,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42193908,Extracellular Vesicles in Cardiac Repair Approaches: Implications for In Vitro Heart Models and Potential ATMP Development,0,no
cardiac,10.1002/advs.202515661,PMC13248853,Hoang,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41837870,Size-Modulated Mesoderm-Endoderm Divergence and Myocardial Cavitation in Micropatterned Cardioids,0,no
cardiac,10.1002/adhm.202504004,PMC13107919,Marini,2026,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41677066,Patient-Derived 3D Bioprinted Cardiac Organoid Constructs Reveal Key Pathological Features of Duchenne Muscular Dystrophy,0,no
cardiac,,PMC13228570,,2026,bioRxiv : the preprint server for biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,,"Hyaluronan Underlies the Emergence of Form, Fate, and Function in Human Cardioids",0,no
cardiac,10.3390/biomedicines12122714,PMC11726960,Stougiannou,2024,Biomedicines,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39767621,"In Vitro Models of Cardiovascular Disease: Embryoid Bodies, Organoids and Everything in Between",1,no
cardiac,10.1042/bst20230444,PMC11346450,Groen,2024,Biochemical Society transactions,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,38778769,Three-dimensional cardiac models: a pre-clinical testing platform,6,no
cardiac,10.3390/bioengineering13030309,PMC13023869,Ge,2026,"Bioengineering (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41899840,Advancing Microplastic and Nanoplastic Toxicity Assessment: Insights from Human Organoid Models,0,no
cardiac,10.1097/fjc.0000000000001802,PMC13043231,Yao,2026,Journal of cardiovascular pharmacology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41719428,Integrating Network Pharmacology and In Vitro 3D Cardiac Organoid Model Validation to Investigate the Action Mechanism of Shenfu Xiangshao Decoction on Heart Failure,0,no
cardiac,10.1111/cpr.13762,PMC11882745,Zhang,2025,Cell proliferation,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,39377453,Modelling myocardial ischemia/reperfusion injury with inflammatory response in human ventricular cardiac organoids,9,no
cardiac,10.7150/thno.127654,PMC13231838,Hamad,2026,Theranostics,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42245001,Scalable differentiation of human cardiac organoids from iPSCs generates cardiac tissues for cardiac cell therapy,0,no
intestinal,10.1016/j.xpro.2026.104524,PMC13138044,Stuffer,2026,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,42048187,Protocol for generating iPSC-derived intestinal organoids through dissection to model cystic fibrosis therapies,0,no
intestinal,10.1186/s40104-026-01424-9,PMC13231639,Kang,2026,Journal of animal science and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,42231404,Dynamic cellular heterogeneity revealed through a time-resolved single-cell atlas: assessment of porcine intestinal organoids as an in vitro model for deoxynivalenol and zearalenone,0,no
intestinal,10.1016/j.psj.2026.106446,PMC12874115,Zhang,2026,Poultry science,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,41610608,Duck intestinal organoids: A novel model for waterfowl parvovirus infection and immune responses investigation,0,no
intestinal,10.1038/s42003-026-09736-2,PMC13035940,Deng,2026,Communications biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,41723267,Single-nucleus multi-omics analysis of mouse small-intestinal Lgr5+ cell populations reveals Foxa3-induced Paneth cell-lineage differentiation,0,no
intestinal,10.1038/s41467-026-71620-8,PMC13234404,He,2026,Nature communications,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,41946724,Small nucleolar RNA Snora61 drives self-renewal of intestinal stem cells via initiation of Lgr5 transcription,0,no
intestinal,10.1016/j.isci.2026.114844,PMC12992530,Guo,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,41852748,Red panda intestinal organoids for the functional analysis of &lt;i&gt;Lactobacillus salivarius&lt;/i&gt;,0,no
intestinal,10.1007/s11010-026-05492-3,PMC13061793,Cao,2026,Molecular and cellular biochemistry,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,41718886,Optimization of RNP-CRISPR for high-efficiency gene editing in mouse intestinal organoids,1,no
intestinal,10.21037/tlcr-24-758,PMC12000945,Wang,2025,Translational lung cancer research,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,40248740,Circulating lung cancer exosomes damage the niche of intestinal stem cells,0,no
intestinal,10.1016/j.advnut.2025.100489,PMC12592234,Menikdiwela,2025,"Advances in nutrition (Bethesda, Md.)",tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,40840669,The Use of Organoid Cultures in Advancing Nutrition Research,1,no
intestinal,10.1038/s41538-025-00672-9,PMC13013960,Wang,2026,NPJ science of food,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,41741494,Transcriptomic comparison of human intestinal organoids and Caco-2 cells in modeling nutrient absorption: insights from infant formula and breast milk,0,no
intestinal,10.1039/d4ra08290g,PMC11795259,Quacquarelli,2025,RSC advances,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,39911548,Enhanced small intestinal organoid-derived epithelial cell adhesion and growth in organ-on-a-chip devices,0,no
intestinal,10.3390/biom16050688,PMC13204989,Liu,2026,Biomolecules,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,42194037,Adult Stem Cell-Derived Intestinal Organoids as In Vitro Models of High-Fat Diet-Related Intestinal Diseases,0,no
intestinal,10.1128/msphere.00290-25,PMC12482142,Hryckowian,2025,mSphere,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,40778776,Fibroblasts enhance the growth and survival of adult feline small intestinal organoids,1,no
intestinal,,PMC12901704,,2026,Journal of the Canadian Association of Gastroenterology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,,Poster Session I - Poster of Distinction I - A20 ODIN: AN UNBIASED BRIGHTFIELD IMAGE-BASED MACHINE LEARNING ALGORITHM FOR INTESTINAL ORGANOID CHARACTERIZATION,0,no
intestinal,10.1016/j.jot.2025.05.008,PMC12167829,Wang,2025,Journal of orthopaedic translation,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover intestinal,40525095,Combination therapy using intestinal organoids and their extracellular vesicles for inflammatory bowel disease complicated with osteoporosis,5,no
intestinal,10.1021/acs.analchem.5c07602,PMC13044878,Utagawa,2026,Analytical chemistry,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover intestinal,41789640,Nondestructive In-Situ Measurement of Alkaline Phosphatase Activity of Human Intestinal Organoids in Hydrogel Domes Using Scanning Electrochemical Microscopy,0,no
cerebral,10.3390/brainsci16050531,PMC13204722,Kalaga,2026,Brain sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,42192843,Organoids to Model Tumor Microenvironment in Progression of Pathogenesis and Treatment Resistance in Glioblastoma Multiforme,0,no
cerebral,10.1111/jnc.70458,PMC13158549,Øhlenschlæger,2026,Journal of neurochemistry,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cerebral,42108706,Modeling Synaptic Maturation From Growth Cone to Synapse in Human Organoids,0,no
cerebral,10.1371/journal.pbio.3002912,PMC11637388,Werner,2024,PLoS biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,39621752,Meta-analysis of single-cell RNA sequencing co-expression in human neural organoids reveals their high variability in recapitulating primary tissue,9,no
cerebral,10.4014/jmb.2411.11040,PMC12149405,Hongxi,2025,Journal of microbiology and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,40443221,Human Brain Organoids: Development and Applications,3,no
cerebral,10.1038/s42003-026-09864-9,PMC13021996,Capendale,2026,Communications biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,41857366,Microglia cause HIV-induced transcriptional and metabolic changes in human neural organoids,0,no
cerebral,10.1016/j.isci.2026.114780,PMC12930056,Sarieva,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,41743667,Comparing the impact of sample multiplexing approaches for single-cell RNA-sequencing on downstream analysis using cerebellar organoids,0,no
cerebral,10.3389/fnins.2025.1634582,PMC12392918,Yokoi,2025,Frontiers in neuroscience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,40896342,Advanced neural activity mapping in brain organoids via field potential imaging with ultra-high-density CMOS microelectrode arrays,0,no
cerebral,10.1016/j.conb.2025.103011,PMC13220798,O'Laughlin,2025,Current opinion in neurobiology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cerebral,40132519,Bioengineering tools for next-generation neural organoids,1,no
cerebral,10.3390/cells15050462,PMC12985085,Harej Hrkać,2026,Cells,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,41827895,From Brain Organoids to Translational Neurology: Exploring Neuroprotective Targets and Molecular Approaches in Perinatal Brain Injury,0,no
cerebral,10.1098/rsob.240341,PMC12152747,van der Hoven,2025,Open biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,40495809,The role of endothelial-derived factors in neural tube development: implications for organoid models,0,no
cerebral,10.1016/j.isci.2025.112935,PMC12270659,Yentür,2025,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,40678520,Human dorsal forebrain organoids show differentiation-state-specific protein secretion,1,no
cerebral,10.3389/fnmol.2026.1767365,PMC12996199,Harris,2026,Frontiers in molecular neuroscience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,41858498,Integrating neural organoids and AI: increasing the risk of artificial consciousness or medical malpractice?,0,no
cerebral,10.3389/fcell.2026.1721946,PMC13229853,Zhili,2026,Frontiers in cell and developmental biology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,42245478,Ethical review key considerations for organoid applications in biomedical research-a systematic review,0,no
cerebral,10.3389/ftox.2026.1783893,PMC13105461,Mohapatra,2026,Frontiers in toxicology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cerebral,42038106,Towards learning and memory risk assessment with human brain organoids: barriers and opportunities,0,no
retinal,10.1016/j.isci.2026.115684,PMC13138029,Schlagheck,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,42088349,Extrinsic polarity cues control lamination versus cluster-based organization in vertebrate retinal development,0,no
retinal,10.1016/j.celrep.2026.117270,PMC13181862,Zhang,2026,Cell reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,41996242,Blocking apoptosis promotes survival and alters developmental dynamics of human retinal ganglion cells in retinal organoids,0,no
retinal,10.3390/pathogens15040358,PMC13118553,Ashander,2026,"Pathogens (Basel, Switzerland)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,42075685,"Reply to Bruschi, F.; Casini, G. New Models for the Study of Ocular Toxoplasmosis. Comment on ""Ashander et al. Human Retinal Organoid Model of Ocular Toxoplasmosis. &lt;i&gt;Pathogens&lt;/i&gt; 2025, &lt;i&gt;14&lt;/i&gt;, 286""",0,no
retinal,10.1016/j.xpro.2025.104232,PMC12702322,Chen,2025,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41317324,Protocol for modeling injury-induced regeneration in retinal organoids and isolating hNRSCs for subretinal transplantation in rd10 mice,0,no
retinal,10.1038/s41419-025-08244-1,PMC12717054,Polešovská,2025,Cell death & disease,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,41419458,Unveiling the cellular and molecular mechanisms of diabetic retinopathy with human retinal organoids,0,no
retinal,10.1167/iovs.66.14.2,PMC12594264,Ashworth,2025,Investigative ophthalmology & visual science,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41182029,USH2A-Mutated Human Retinal Organoids Model Rod-Cone Dystrophy,0,no
retinal,10.3390/ijms27010449,PMC12786086,Busson,2025,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,41516321,&lt;i&gt;KCNV2&lt;/i&gt;-Deficient Retinal Organoid Model of Cone Dystrophy-In Vitro Screening for AAV Gene Replacement Therapy,1,no
retinal,10.3390/ijms262311327,PMC12692710,Yang,2025,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,41373488,Retinal Organoid-Derived Exosomes Reduce CNV Lesion and Restore RPE Integrity in Mouse Laser-Induced Choroidal Neovascularization (CNV) Model,0,no
retinal,10.1038/s41597-025-05079-5,PMC12116939,Zhao,2025,Scientific data,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,40425564,Longitudinal scRNA-seq of retinal organoids derived from Stargardt disease patient with ABCA4 mutation,3,no
retinal,10.1016/j.omta.2026.201705,PMC13148931,George,2026,Molecular therapy. Advances,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,42137598,Gene therapy induces pigmentation in induced pluripotent stem cell-derived retinal pigment epithelium of OCA1A patients and albino rat eye,0,no
retinal,10.4252/wjsc.v17.i12.111374,PMC12754452,Zeppieri,2025,World journal of stem cells,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41480395,Novel developments in retinal regeneration: Advances and future outlooks in stem cell therapy,1,no
retinal,,PMC13193134,,2026,Research square,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,,Halofantrine protects photoreceptors in multiple models of retinal degeneration,0,no
retinal,10.1111/cts.70420,PMC12673224,Li,2025,Clinical and translational science,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover retinal,41332270,Application of Machine Learning to Discriminate Photoreceptor Cell Species in Xenotransplanted Chimeric Retinas,1,no
retinal,10.1007/s12015-024-10802-7,PMC11762450,Lee,2025,Stem cell reviews and reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover retinal,39422807,Retinal Organoids from Induced Pluripotent Stem Cells of Patients with Inherited Retinal Diseases: A Systematic Review,10,no
hepatic,10.1186/s12967-026-08169-z,PMC13255226,Ten Dam,2026,Journal of translational medicine,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover hepatic,42032747,Automated and scalable expansion of human liver organoids for translational applications,0,no
hepatic,10.1016/j.isci.2026.114955,PMC12927097,Ma,2026,iScience,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover hepatic,41736863,A cell atlas of multiple liver organoids and the fetal liver based on scRNA-seq,0,no
hepatic,10.1038/s41598-025-32539-0,PMC12824400,Yang,2026,Scientific reports,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover hepatic,41535358,​Temporal proteomic profiling of iPSC-derived human liver organoids reveals optimal maturation for drug metabolism and toxicology,0,no
hepatic,10.4254/wjh.v17.i2.95624,PMC11866153,Li,2025,World journal of hepatology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover hepatic,40027550,Global landscape of hepatic organoid research: A bibliometric and visual study,1,no
