organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
cardiac,10.1016/j.apsb.2025.09.013,PMC12648008,Zhao,2025,Acta pharmaceutica Sinica. B,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41311381,Technologies and applications of current human cardiac organoids,0,no
cardiac,10.3390/jcdd12100389,PMC12564065,Lyu,2025,Journal of cardiovascular development and disease,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41149260,"Advances in Epicardial Biology: Insights from Development, Regeneration, and Human Cardiac Organoids",0,no
cardiac,10.1002/advs.202515661,PMC13248853,Hoang,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41837870,Size-Modulated Mesoderm-Endoderm Divergence and Myocardial Cavitation in Micropatterned Cardioids,0,no
cardiac,10.1002/advs.74917,PMC13104096,Liu,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41867079,Vascularized Cardiac Tissue Engineering: From Advances in Biofabrication to Translational Applications,0,no
cardiac,10.1186/s13287-026-04996-5,PMC13182113,Yang,2026,Stem cell research & therapy,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41963991,From chemically defined hiPSCs to self-organizing cardiac organoids: current strategies guided by developmental signaling,0,no
cardiac,,PMC13228570,,2026,bioRxiv : the preprint server for biology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,,"Hyaluronan Underlies the Emergence of Form, Fate, and Function in Human Cardioids",0,no
cardiac,10.3390/ijms27020981,PMC12842532,Vital,2026,International journal of molecular sciences,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41596622,Integrative Proteomics of Extracellular Vesicles from hiPSC-Derived Cardiac Organoids Reveals Heart Tissue-like Molecular Representativity,0,no
cardiac,10.1038/s41378-026-01249-6,PMC13153201,Kim,2026,Microsystems & nanoengineering,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,42098083,"Advanced in vitro cardiac models for drug evaluation: integration of organoids, engineered tissues, and microphysiological systems",0,no
cardiac,10.34133/research.1165,PMC12953928,Liu,2026,"Research (Washington, D.C.)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41783046,3D Cardiac Constructs in Drug Discovery: Current Advances and Future Challenges,0,no
cardiac,10.1186/s12933-026-03086-3,PMC13003744,Zhao,2026,Cardiovascular diabetology,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,41618376,Advanced imaging strategies in cardiac organoids: bridging the gap between structural complexity and functional analysis,0,no
cardiac,10.3389/fbioe.2025.1691972,PMC12727648,Chen,2025,Frontiers in bioengineering and biotechnology,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41450775,Artificial intelligence-assisted organoid construction in congenital heart disease: current applications and future prospects,0,no
cardiac,10.1186/s13619-024-00193-y,PMC11035500,Hou,2024,"Cell regeneration (London, England)",tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,38649624,Unveiling new horizons in heart research: the promise of multi-chamber cardiac organoids,1,no
cardiac,10.1002/adhm.202504004,PMC13107919,Marini,2026,Advanced healthcare materials,tbd,tbd,CC-BY,yes,tbd,no,epmc-ft,europepmc discover cardiac,41677066,Patient-Derived 3D Bioprinted Cardiac Organoid Constructs Reveal Key Pathological Features of Duchenne Muscular Dystrophy,0,no
cardiac,10.1186/s13287-024-03919-6,PMC11396807,Rezaeiani,2024,Stem cell research & therapy,tbd,tbd,CC-BY-NC,yes,tbd,no,epmc-ft,europepmc discover cardiac,39267174,Expandable hESC-derived cardiovascular progenitor cells generate functional cardiac lineage cells for microtissue construction,2,no
