organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
,10.1101/2025.08.31.672357,BIORXIV_2025.08.31.672357,"Arnadottir, H. B.",2025,bioRxiv,,,cc_by_nc_nd,1,1,,,biorxiv preprint ingest,,Host age at experimental Helicobacter pylori infection shapes epithelial development of mouse gastric organoids,,0
,10.1101/2025.09.01.673532,BIORXIV_2025.09.01.673532,"Nigrisoli, D.",2025,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Electrical stimulation elicits space- and parameter-dependent spiking responses in human cortical organoids,,0
,10.1101/2024.06.03.597136,BIORXIV_2024.06.03.597136,"Parrotta, E. I.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Mosaic midbrain organoids: a new tool to study Progressive Supranuclear Palsy and advancing clinical neurology research,,0
,10.1101/2023.11.06.565830,BIORXIV_2023.11.06.565830,"Childs, C. J.",2024,bioRxiv,,,cc_by_nd,1,1,,,biorxiv preprint ingest,,Coordinated differentiation of human intestinal organoids with functional enteric neurons and vasculature,,0
,10.1101/2024.06.04.597327,BIORXIV_2024.06.04.597327,"Li, K.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,An organoid co-culture model for probing systemic anti-tumor immunity in lung cancer,,0
,10.1101/2024.06.05.597501,BIORXIV_2024.06.05.597501,"Slaby, E. M.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Human placental organoids as a model to probe early gestation maternal immune dynamics,,0
,10.1101/2024.05.09.592870,BIORXIV_2024.05.09.592870,"Arthurs, A. L.",2024,bioRxiv,,,cc_by_nc_nd,1,0,,,biorxiv preprint ingest,,Genetically edited human placental organoids cast new light on the role of ACE2 in placental development,,0
,10.1101/2024.06.06.597640,BIORXIV_2024.06.06.597640,"Xiao, Q.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,An organoid platform reveals MEK-PARP co-targeting to enhance radiation response in rectal cancer,,0
,10.1101/2024.05.06.592718,BIORXIV_2024.05.06.592718,"Kadotani, A.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Geometrically-engineered organoid units and their assembly for pre-construction of organ structures,,0
,10.1101/2024.06.10.598262,BIORXIV_2024.06.10.598262,"Marsee, A.",2024,bioRxiv,,,cc_no,1,1,,,biorxiv preprint ingest,,Mass Generation and Long-term Expansion of Hepatobiliary Organoids from Adult Primary Human Hepatocytes,,0
