organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
,dx.doi.org/10.17504/protocols.io.78vhrw6,PROTOCOLSIO_28661,,1571,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest a-fast-and-simple-fluorometric-method-to-detect-ce-78vhrw6,,A fast and simple fluorometric method to detect cell death in 3D intestinal organoids,,0
,dx.doi.org/10.17504/protocols.io.bcqsivwe,PROTOCOLSIO_33266,,1582,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest isolating-human-intestinal-crypts-from-biopsies-fo-bcqsivwe,,Isolating human intestinal crypts from biopsies for organoid generation,,0
,dx.doi.org/10.17504/protocols.io.kxygx98mdg8j/v1,PROTOCOLSIO_78956,,1679,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest neuromelanin-staining-fontana-masson-staining-dab-crckv2uw,,Neuromelanin staining (Fontana-Masson staining)-DAB staining on midbrain organoids,,0
,dx.doi.org/10.17504/protocols.io.5jyl8jon8g2w/v1,PROTOCOLSIO_79528,,1679,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest neuromelanin-staining-fontana-masson-staining-th-d-crwgv7bw,,Neuromelanin staining (Fontana-Masson staining)+ TH-DAB staining on midbrain organoids,,0
,dx.doi.org/10.17504/protocols.io.e6nvwj799lmk/v1,PROTOCOLSIO_79538,,1679,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest single-cell-dissociation-of-brain-organoids-crwsv7ee,,Single cell dissociation of brain organoids,,0
,dx.doi.org/10.17504/protocols.io.36wgqjk53vk5/v1,PROTOCOLSIO_79542,,1679,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest single-cell-analysis-of-ipsc-derived-midbrain-orga-crwwv7fe,,Single cell analysis of iPSC-derived midbrain organoids,,0
,dx.doi.org/10.17504/protocols.io.kqdg39d5qg25/v1,PROTOCOLSIO_79544,,1679,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest midbrain-like-organoids-generation-from-hipscs-crwyv7fw,,Midbrain-like Organoids generation from hiPSCs,,0
,dx.doi.org/10.17504/protocols.io.36wgq37kolk5/v1,PROTOCOLSIO_85690,,1690,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest isolation-of-intestinal-organoids-from-matrigel-fo-cxw2xpge,,Isolation of intestinal organoids from matrigel for protein or RNA extraction,,0
,dx.doi.org/10.17504/protocols.io.4r3l22or3l1y/v1,PROTOCOLSIO_85691,,1690,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest culturing-and-passaging-of-ipsc-derived-intestinal-cxw3xpgn,,Culturing and passaging of iPSC derived intestinal organoids,,0
,dx.doi.org/10.17504/protocols.io.14egn33zzl5d/v1,PROTOCOLSIO_86475,,1692,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest olfactory-organoids-cypjxvkn,,Olfactory Organoids,,0
,dx.doi.org/10.17504/protocols.io.dm6gp33ypvzp/v1,PROTOCOLSIO_86661,,1692,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest overcoming-problematic-growth-phenotypes-in-organo-cyvdxw26,,Overcoming problematic growth phenotypes in organoids from patients with monogenic GI disease,,0
,dx.doi.org/10.17504/protocols.io.bp2l6xmjrlqe/v1,PROTOCOLSIO_90972,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest maintenance-of-hpsc-c434yyqw,,Maintenance of hPSC,,0
,dx.doi.org/10.17504/protocols.io.5qpvo32k7v4o/v1,PROTOCOLSIO_91188,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest non-enzymatic-passaging-of-hpsc-c5auy2ew,,Non-enzymatic passaging of hPSC,,0
,dx.doi.org/10.17504/protocols.io.x54v9pz24g3e/v1,PROTOCOLSIO_91194,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest coating-of-tissue-culture-vessels-for-hpsc-c5a2y2ge,,Coating of tissue Culture Vessels for hPSC,,0
,dx.doi.org/10.17504/protocols.io.261gedjwdv47/v1,PROTOCOLSIO_91254,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest single-cell-passaging-of-hpsc-c5cwy2xe,,Single cell passaging of hPSC,,0
,dx.doi.org/10.17504/protocols.io.6qpvr32ppvmk/v1,PROTOCOLSIO_91258,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest e8-media-production-c5c2y2ye,,E8 media production,,0
,dx.doi.org/10.17504/protocols.io.dm6gp32y5vzp/v1,PROTOCOLSIO_91261,,1700,protocols.io,,,protocols.io-CC-BY,1,0,,,protocols.io ingest reference-pictures-of-hpsc-cultured-in-defined-con-c5c5y2y6,,Reference pictures of hPSC cultured in defined conditions,,0
