id	subject	predicate	object	knowledge_level	agent_type	primary_knowledge_source	publications	role	concentration_value	concentration_unit	organoid_type	evidence
PMC:10021093--mentions--NCBIGene:482208	PMC:10021093	biolink:mentions	NCBIGene:482208	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	agonist	1000.0	ng/ml	intestinal	
PMC:10021093--mentions--NCBIGene:100622113	PMC:10021093	biolink:mentions	NCBIGene:100622113	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	agonist	200.0	ng/ml	intestinal	200 ng/ml of RSPO1
PMC:10021093--mentions--NCBIGene:1950	PMC:10021093	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	growth factor	10.0	ng/ml	intestinal	
PMC:10021093--mentions--NCBIGene:100525086	PMC:10021093	biolink:mentions	NCBIGene:100525086	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	growth factor	100.0	ng/ml	intestinal	100 ng/ml of FGF10
PMC:10021093--mentions--NCBIGene:778701	PMC:10021093	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	agonist	100.0	ng/ml	intestinal	100 ng/ml of noggin
PMC:10021093--mentions--CHEBI:137694	PMC:10021093	biolink:mentions	CHEBI:137694	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10021093	inhibitor	9.0	μM	intestinal	9 μM of ROCK inhibitor (Y-27632, Sigma)
PMC:10029057--mentions--NCBIGene:22416	PMC:10029057	biolink:mentions	NCBIGene:22416	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057	growth			lung	Wnt ligands such as Wnt-3a and R-Spondin one are key factors for growing epithelial organoids
PMC:10029057--mentions--NCBIGene:100313715	PMC:10029057	biolink:mentions	NCBIGene:100313715	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057	growth			lung	Wnt ligands such as Wnt-3a and R-Spondin one are key factors for growing epithelial organoids
PMC:10029057--mentions--NCBIGene:1950	PMC:10029057	biolink:mentions	NCBIGene:1950	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057	activator			lung	activators of tyrosine kinase receptor signalling such as EGF, and inhibitors of BMP/TGF-β signalling such as Noggin or A83-01
PMC:10029057--mentions--NCBIGene:778701	PMC:10029057	biolink:mentions	NCBIGene:778701	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057	inhibitor			lung	activators of tyrosine kinase receptor signalling such as EGF, and inhibitors of BMP/TGF-β signalling such as Noggin or A83-01
PMC:10029057--mentions--CHEBI:233322	PMC:10029057	biolink:mentions	CHEBI:233322	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057	inhibitor			lung	activators of tyrosine kinase receptor signalling such as EGF, and inhibitors of BMP/TGF-β signalling such as Noggin or A83-01
PMC:10029057--mentions--NCBIGene:397281	PMC:10029057	biolink:mentions	NCBIGene:397281	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057				lung	Specific growth factors and small molecules such as FGF family members (e.g., FGF7, FGF10), HGF and nicotinamide, are supplemented to the culture medium in a tissue-specific way
PMC:10029057--mentions--NCBIGene:100525086	PMC:10029057	biolink:mentions	NCBIGene:100525086	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10029057				lung	Specific growth factors and small molecules such as FGF family members (e.g., FGF7, FGF10), HGF and nicotinamide, are supplemented to the culture medium in a tissue-specific way
PMC:10045189--mentions--NCBIGene:482861	PMC:10045189	biolink:mentions	NCBIGene:482861	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	enable efficient establishment and long-term expansion			other	
PMC:10045189--mentions--CHEBI:75393	PMC:10045189	biolink:mentions	CHEBI:75393	prediction	automated_agent	infores:organoid-protocol-atlas	PMC:10045189	ameliorates culture conditions			other	Accordingly, the addition of the specific Rho-associated coiled-coil containing protein kinase (ROCK) inhibitor Y-27632 also ameliorates culture conditions by allowing long-term proliferation of tumor epithelial cells in vitro
