id	category	name	provided_by
PMC:10192887	biolink:Publication	PMC10192887	infores:organoid-protocol-atlas
NCBIGene:482208	biolink:Gene	WNT3A	infores:organoid-protocol-atlas
NCBIGene:778701	biolink:Gene	noggin	infores:organoid-protocol-atlas
NCBIGene:100622113	biolink:Gene	RSPO1	infores:organoid-protocol-atlas
PMC:10499607	biolink:Publication	PMC10499607	infores:organoid-protocol-atlas
NCBIGene:608860	biolink:Gene	SHH	infores:organoid-protocol-atlas
NCBIGene:135818427	biolink:Gene	LOC135818427	infores:organoid-protocol-atlas
NCBIGene:211286	biolink:Gene	Cln5	infores:organoid-protocol-atlas
NCBIGene:100616083	biolink:Gene	Notch	infores:organoid-protocol-atlas
Cellosaurus:CVCL_1240	biolink:CellLine	H9	infores:organoid-protocol-atlas
PMC:10635827	biolink:Publication	PMC10635827	infores:organoid-protocol-atlas
NCBIGene:2777530	biolink:Gene	hegF	infores:organoid-protocol-atlas
NCBIGene:2252	biolink:Gene	FGF7	infores:organoid-protocol-atlas
NCBIGene:2255	biolink:Gene	FGF10	infores:organoid-protocol-atlas
NCBIGene:3082	biolink:Gene	HGF	infores:organoid-protocol-atlas
PUBCHEM.COMPOUND:44288444	biolink:SmallMolecule	GASTRIN	infores:organoid-protocol-atlas
CHEBI:91091	biolink:SmallMolecule	CHIR 99021	infores:organoid-protocol-atlas
CHEBI:233322	biolink:SmallMolecule	A-83-01	infores:organoid-protocol-atlas
CHEBI:75393	biolink:SmallMolecule	Y-27632	infores:organoid-protocol-atlas
PMC:10716495	biolink:Publication	PMC10716495	infores:organoid-protocol-atlas
CHEBI:137694	biolink:MolecularMixture	(S)-2-methyl-1-(4-methylisoquinoline-5-sulfonyl)-1,4-diazepane dihydrochloride	infores:organoid-protocol-atlas
NCBIGene:100113425	biolink:Gene	BMP4	infores:organoid-protocol-atlas
CHEBI:81351	biolink:ChemicalEntity	Activin A	infores:organoid-protocol-atlas
PUBCHEM.COMPOUND:57519544	biolink:SmallMolecule	Wnt-C59	infores:organoid-protocol-atlas
PMC:10739970	biolink:Publication	PMC10739970	infores:organoid-protocol-atlas
NCBIGene:118152209	biolink:Gene	FGF2	infores:organoid-protocol-atlas
NCBIGene:492315	biolink:Gene	BMP7	infores:organoid-protocol-atlas
PMC:10775018	biolink:Publication	PMC10775018	infores:organoid-protocol-atlas
NCBIGene:100313715	biolink:Gene	LOC100313715	infores:organoid-protocol-atlas
PMC:11194494	biolink:Publication	PMC11194494	infores:organoid-protocol-atlas
CHEBI:91387	biolink:SmallMolecule	LDN-193189	infores:organoid-protocol-atlas
PMC:12625545	biolink:Publication	PMC12625545	infores:organoid-protocol-atlas
PMC:12650645	biolink:Publication	PMC12650645	infores:organoid-protocol-atlas
NCBIGene:100136118	biolink:Gene	vegf	infores:organoid-protocol-atlas
